TaxonomicName,CatalogueNumber,Clade,Order,Family,Genus,FullName,VernacularName,TypeStatus,TypeName,DecimalLatitude,DecimalLongitude,Locality,RecordedBy,RecordNumber,CollectionDate,Country,InstitutionCode,ImageFile,Habit,LeafArrangement,LeafForm,LeafVenation,LeafMargin,Stipules,Exudate,StemArmature,Tendrils,LeafSample,DNAextracted,DNAsequenced,DNAnotes,EditedAt
Xerochlamys villosa,K005508276,,,Sarcolaenaceae,Xerochlamys,Xerochlamys villosa,,,,-22.5367,45.3744,,"Ranarivelo, T.; Roberts, D.; Cribb, P.; Razafindraibe, H.",RTI553,2007-02-17 00:00:00,Madagascar,K,K005508276,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508257,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.0419,47.0053,,"Rakotoarisoa, S.E. : KMCC; Andriamahay, M. : SNGF",1206,2005-11-30 00:00:00,Madagascar,K,K005508257,,,,,,,,,,,,,,
Xerochlamys coriacea,K005508230,,,Sarcolaenaceae,Xerochlamys,Xerochlamys coriacea,,,,,,,"Capuron, R.",22452-SF,1963-01-16 00:00:00,Madagascar,K,K005508230,,,,,,,,,,,,,Not attempted,
Xerochlamys coriacea,K005508231,,,Sarcolaenaceae,Xerochlamys,Xerochlamys coriacea,,,,,,,s.coll.,13769,,Madagascar,K,K005508231,,,,,,,,,,,,,Not attempted,
Leptolaena diospyroidea,K000391085,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,-20.5858,46.5961,,"Labat, J.-.N.; Haevermans, T.; Rabenantoandro, J.; Cook, B.",3029,1999-03-26 00:00:00,Madagascar,K,K000391085,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300415,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Cours, G.",5041,1955-01-29 00:00:00,Madagascar,K,K000300415,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300420,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Perrier de la Bâthie, J.M.H.A.",17876,1922-07-01 00:00:00,Madagascar,K,K000300420,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000391087,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,-20.5833,46.6333,,"Croat, T.B.",29847,1975-01-26 00:00:00,Madagascar,K,K000391087,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000391084,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,-20.5894,46.5669,,"Labat, J.-.N.; Haevermans, T.; Rabenantoandro, J.; Cook, B.",3052,1999-03-27 00:00:00,Madagascar,K,K000391084,,,,,,,,,,,,,,
Xerochlamys diospyroidea,K001303645,,,Sarcolaenaceae,Xerochlamys,Xerochlamys diospyroidea,,,,-20.5456,46.5828,,"Rajaovelona, L.",MDG113_7 110,2019-03-02 00:00:00,Madagascar,K,,,,,,,,,,,,,,Not attempted,
Xerochlamys diospyroidea,K001303602,,,Sarcolaenaceae,Xerochlamys,Xerochlamys diospyroidea,,,,-20.4367,46.7817,,"Rajaovelona, L.R.; Rakotonasolo, F.; Rakotoarisoa, A.A.; Ranaivomanana, T.; Andry Ny Aina, T.N.A.",MDG05-12-19 100,2019-12-13 00:00:00,Madagascar,K,,,,,,,,,,,,,,Not attempted,
Xerochlamys diospyroidea,K006920222,,,Sarcolaenaceae,Xerochlamys,Xerochlamys diospyroidea,,,,-20.5792,46.6061,,"Rakotoarisoa, S.E.;Andriamahay, M.",RSE 367,2005-01-20 00:00:00,Madagascar,K,K006920222,,,,,,,,,,,,,Not attempted,
Leptolaena diospyroidea,K000300425,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Humbert, H.; Swingle, C.F.",4992,1928-07-30 00:00:00,Madagascar,K,K000300425,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300426,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Humbert, H.",12680,1933-12-01 00:00:00,Madagascar,K,K000300426,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300424,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Chauvet, F.",393,1962-12-31 00:00:00,Madagascar,K,K000300424,,,,,,,,,,,,,,
Xerochlamys diospyroidea,K000663503,,,Sarcolaenaceae,Xerochlamys,Xerochlamys diospyroidea,,,,-20.5869,46.5858,,"Rakotonasolo, F.; Ralimanana, H.; Rakotomalala, A.",RNF1740,2010-12-15 00:00:00,Madagascar,K,K000663503,,,,,,,,,,,,,Not attempted,
Xerochlamys diospyroidea,K005508233,,,Sarcolaenaceae,Xerochlamys,Xerochlamys diospyroidea,,,,-20.6,46.5333,,"Rabenantoandro, J.; Birkinshaw, C.; Camara, C.",63,1999-03-06 00:00:00,Madagascar,K,K005508233,,,,,,,,,,,,,Not attempted,
